LON,LAT,EDO,CLAVE,ESTACION,dic-23
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de Méx.",9.15
-99.174167,19.240833,DF,AMC,"Academia Mexicana de Ciencias, Cd. de Méx. UNAM*",6.01
-99.102778,19.423056,DF,BALBUENA,"Balbuena, Cd. de Méx. UNAM*",5.692
-99.140833,19.483333,DF,CCHVALLEJO,"CCH Vallejo, Cd. de Méx. UNAM*",4.56
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de Méx.",10.01
-98.999444,19.357222,DF,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",2.29
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de Méx.",1.25
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",6.02
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de Méx.",0.0
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de Méx.",0.0
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de Méx.",18.27
-99.196111,19.406389,DF,CTMDF,"Observatorio de Tacubaya, Cd. de Méx.",2.11
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de Méx.",5.56
-99.291667,19.355278,DF,CUAJIMALPA,"Memetla Cuajimalpa, Cd. de Méx. UNAM*",12.26
-99.140833,19.549444,DF,CUAUTEPEC,"Cuautepec, Cd. de Méx. UNAM*",32.95
-99.105,19.323333,DF,CULHUACAN,"Culhuacán, Cd. de Méx. UNAM*",7.113
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de Méx.",0.0
-99.205,19.3,DF,DATDF,"Desviación Alta, Cd. de Méx.",0.0
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de México, Cd. de Méx.",2.25
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de Méx.",16.49
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de Méx.",7.79
-99.066667,19.377778,DF,EMRDF,"El Moral SACM, Cd. de Méx.",6.1
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de Méx.",3.04
-99.352222,19.295,DF,EZCDF,"El Zarco, Méx.",1.75
-99.091667,19.478056,DF,GCNDF,"km 6+250, Cd. de Méx.",4.1
-99.119444,19.496389,DF,INDIOSVER,"Indios Verdes, Cd. de Méx. UNAM*",4.12
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro Ríos (El Moral), Cd. de Méx.",7.01
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de Méx.",0.0
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de Méx.",5.54
-99.043889,19.3375,DF,MEYEHUALCO,"Meyehualco, Cd. de Méx. UNAM*",2.15
-99.026944,19.187222,DF,MLPDF,"Milpa Alta, Cd. de Méx.",4.42
