LON,LAT,EDO,CLAVE,ESTACION,abr-24
-99.210278,19.218611,CDMX,AJSDF,"Ajusco, Cd. de Méx.",21.47
-99.235278,19.203333,CDMX,AJUSCOALTATEN,"Ajusco Alta Tensión, Cd. de Méx. SACMEX*",0.0
-99.197222,19.388611,CDMX,CAJA6IPSAYP,"Caja-6 IP San Antonio y Periferico, Cd. de Méx. SACMEX*",4.2
-99.180556,19.346667,CDMX,CCUDF,"Universidad, Cd. de Méx.",4.5
-98.999444,19.357222,CDMX,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",10.75
-99.1125,19.407778,CDMX,CDVDF,"Ciudad Deportiva, Cd. de Méx.",14.92
-99.1375,19.516667,CDMX,CEADF,"Campamento Amealco, Cd. de Méx.",13.02
-99.021667,19.256111,CDMX,CERRILLOS,"Cerrillos, Cd. de Méx. SACMEX*",10.5
-99.208333,19.155556,CDMX,CFSDF,"Caseta Forestal, Cd. de Méx.",24.0
-99.047222,19.442222,CDMX,CHAPLAGO,"Planta de Bombeo Churubusco Lago, Cd. de Méx. SACMEX*",9.45
-99.1375,19.469722,CDMX,CMTDF,"Avenida Cien Metros, Cd. de Méx.",8.75
-99.183333,19.486389,CDMX,CMYDF,"Campamento Mecoaya, Cd. de Méx.",2.25
-99.077778,19.4775,CDMX,CRAEOCAVM,"San Juan de Aragón (CRAE OCAVM), Cd. de Méx. SACMEX*",20.0
-99.196111,19.406389,CDMX,CTMDF,"Observatorio de Tacubaya, Cd. de Méx.",7.51
-99.09,19.190278,CDMX,CTNDF,"San Salvador Cuauhtenco, Cd. de Méx.",10.35
-99.09,19.484167,CDMX,CYLDF,"Coyol, Cd. de Méx.",13.0
-99.205,19.3,CDMX,DATDF,"Desviación Alta, Cd. de Méx.",5.0
-99.131389,19.431111,CDMX,DDFDF,"Gobierno de la Ciudad de México, Cd. de Méx.",6.05
-99.309167,19.313333,CDMX,DTLDF,"Desierto de los Leones, Cd. de Méx.",15.45
-99.151944,19.300556,CDMX,EAZDF,"Estadio Azteca, Cd. de Méx.",9.77
-99.203889,19.271389,CDMX,ECOGUARDAS,"Ecoguardas Ajusco, Cd. de Méx. SMN*",18.0
-99.073056,19.288611,CDMX,ELMOLINOCDMX,"El Molino, Cd. de Méx. SACMEX*",6.25
-99.066667,19.377778,CDMX,EMRDF,"El Moral SACM, Cd. de Méx.",3.81
-99.286389,19.3625,CDMX,EYQDF,"El Yaqui, Cd. de Méx.",12.75
-99.352222,19.295,CDMX,EZCDF,"El Zarco, Méx.",7.0
-99.235,19.308056,CDMX,FCMAGDALENA,"Foro Cultural Magdalena, Cd. de Méx. SACMEX*",0.0
-99.091667,19.478056,CDMX,GCNDF,"km 6+250, Cd. de Méx.",18.0
-98.975,19.339167,CDMX,LACALDERA,"La Caldera Subestación eléctrica Santa Lucía, Méx. SACMEX*",13.25
-99.170556,19.286944,CDMX,LAJOYACDMX,"La Joya, Cd. de Méx. SACMEX*",6.0
-99.066667,19.377778,CDMX,LU4DF,"Lumbrera Cuatro Ríos (El Moral), Cd. de Méx.",9.25
-99.3,19.340556,CDMX,LVNDF,"La Venta, Cd. de Méx.",0.0
-99.133889,19.403333,CDMX,MCRDF,"Marcos Carrillo, Cd. de Méx.",6.25
-99.191944,19.416389,CDMX,MDELREY,"Molino del Rey, Cd. de Méx SMN*",5.4
-99.026944,19.187222,CDMX,MLPDF,"Milpa Alta, Cd. de Méx.",6.34
-99.120556,19.150556,CDMX,MTULMIAC,"Manantial Tulmiac, Cd. de Méx. SACMEX*",22.55
-99.233056,19.187778,CDMX,MZTDF,"Planta Abasolo (Mezontepec), Cd. de Méx.",23.12
-99.096389,19.316389,CDMX,OCSDF,"Organismo de Cuenca Aguas del Valle de Mécico Sur, Cd. de Méx.",6.25
-99.100278,19.379167,CDMX,PBADF,"Planta de bombeo Aculco, Cd. de Méx.",1.75
-99.057778,19.433333,CDMX,PBCDF,"Planta de bombeo Churubusco Lago, Cd. de Méx.",9.45
-99.119444,19.486667,CDMX,PBLDF,"Planta de bombeo Lindavista, Cd. de Méx.",13.0
-99.037778,19.38,CDMX,PBODF,"Planta de bombeo U.H. Ejército de Oriente, Cd. de Méx.",4.57
-99.170556,19.435556,CDMX,PBTDF,"Planta de bombeo Tizoc, Cd. de Méx.",3.0
-99.2,19.413056,CDMX,PCHDF,"Planta Chapultepec, Cd. de Méx.",6.86
-99.097222,19.455833,CDMX,PGNDF,"Planta Generadora 101, Cd. de Méx.",31.97
-99.209444,19.308611,CDMX,PICACHOAJUSCO,"Planta Pichacho Ajusco Periférico, Cd. de Méx. SACMEX*",9.25
-99.219444,19.285278,CDMX,PICACHOHOMUN,"Picacho Homun, Cd. de Méx. SACMEX*",10.0
-99.076389,19.336944,CDMX,PLEDF,"Planta de Tratamiento Cerro de La Estrella, Cd. de Méx.",3.25
-99.068333,19.420278,CDMX,PLMDF,"Planta de bombeo López Mateos, Cd. de Méx.",26.04
-99.126389,19.365278,CDMX,PMLDF,"Planta de bombeo Municipio Libre, Cd. de Méx.",0.25
-99.090833,19.246389,CDMX,PNTDF,"Planta Nativitas, Cd. de Méx.",7.0
-99.177222,19.328889,CDMX,POZOCU,"Pozo C.U., Cd. de Méx. SACMEX*",8.75
-99.235556,19.423611,CDMX,PRESAMIXCOAC,"Presa Mixcoac, Cd. de Méx. SACMEX*",20.75
-99.154444,19.513056,CDMX,PRMDF,"Planta de Tratamiento Río de La Magdalena, Cd. de Méx.",16.76
-99.154444,19.513056,CDMX,PRRDF,"Planta de Tratamiento Río Remedios, Cd. de Méx.",13.87
-99.023056,19.299167,CDMX,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de Méx.",2.0
-99.05,19.233333,CDMX,PSLDF,"Planta San Luis, Cd. de Méx.",7.27
-99.163889,19.468889,CDMX,PSNDF,"Planta de bombeo Nueva Santa María, Cd. de Méx.",3.0
-99.171111,19.263056,CDMX,PSPDF,"Pueblo San Pedro Mártir, Cd. de Méx.",18.25
-99.059444,19.225278,CDMX,PTARSPACTOPAN,"PTAR San Pedro Actopan, Cd. de Méx. SACMEX*",2.75
-99.190278,19.509167,CDMX,PTRDF,"Planta de Tratamiento Rosario, Cd. de Méx.",6.95
-99.126111,19.285833,CDMX,PVCDF,"Planta de bombeo Villa Coapa, Cd. de Méx.",8.0
