LON,LAT,EDO,CLAVE,ESTACION,ene-24,feb-24,mar-23,abr-24,may-24,jun-24,jul-24,ago-24,sep-24,oct-24,nov-23,dic-23
-99.174167,19.240833,DF,AMC,"Academia Mexicana de Ciencias, Cd. de Méx. UNAM*",1.01,21.51,0,21.47,42.12,196.49,269.03,446.4,284.01,69.01,104.66,9.15
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de Méx.",0,15.23,0,0,34.25,107.75,232.25,511,268.75,62.5,26.785,6.01
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de Méx.",0,12.347,0,4.2,29.5,92,144.25,279.5,170.5,13,35.31,5.692
-99.102778,19.423056,DF,BALBUENA,"Balbuena, Cd. de Méx. UNAM*",0.42,12.5,0,4.5,26.03,119.33,194.51,280.37,184.01,20.18,29.19,4.56
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",0.01,11.23,2.5,10.75,35.79,114.5,176.97,210.5,110.27,14.88,9.4,10.01
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de Méx.",0.25,15.75,0,14.92,36.54,127.03,155.25,168.85,163.32,50,28.53,2.29
-98.999444,19.357222,DF,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",0,15,0,13.02,60.25,115.5,163.45,145.22,128.82,28.8,6.6,1.25
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de Méx.",0.25,12.75,0,10.5,51.5,135.5,130.5,293.75,102.5,86.5,10.42,6.02
-99.140833,19.483333,DF,CCHVALLEJO,"CCH Vallejo, Cd. de Méx. UNAM*",0.9,14,0,24,25,18.5,168.5,411.65,238.5,58,40.3,0
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de Méx.",0.25,15.25,0,9.45,18.5,105,2.5,13.44,33.77,9.53,23.5,0
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de Méx.",1.25,36.75,0,8.75,21.25,154,161,153.75,153.68,29.41,87.63,18.27
-99.140833,19.549444,DF,CUAUTEPEC,"Cuautepec, Cd. de Méx. UNAM*",3.42,18.75,0,2.25,20.75,109.25,213.5,202.29,159.24,22.58,19.63,2.11
-99.105,19.323333,DF,CULHUACAN,"Culhuacán, Cd. de Méx. UNAM*",1.74,13.5,0.38,20,35.53,158.51,119,123.25,104.75,21.5,17.43,5.56
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de Méx.",1.78,15,0,7.51,78.5,146.25,180.2,223.42,169.62,12.3,27.086,12.26
-99.205,19.3,DF,DATDF,"Desviación Alta, Cd. de Méx.",0,14.25,0,10.35,20.25,118.5,193.57,246.42,214.57,121.09,0,32.95
-99.066667,19.377778,DF,EMRDF,"El Moral SACM, Cd. de Méx.",0,11.4,0,13,9,49,127.32,165.87,110.6,24.75,11,7.113
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de Méx.",0.75,27.5,1,5,20.75,138,85,215,126,27,2.03,0
-99.352222,19.295,DF,EZCDF,"El Zarco, Méx.",0,13.02,0,6.05,23.34,170.09,127.5,163.25,157.5,23.5,72.9,0
